Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Hebei Hangdan Wastewater,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Hangdan city, Hebei province",22,Local/Municipal,Not Available,,Not Available,,,2005,100,0,10,10,Cubic meters per day (in thousands),100,N/A,,,Not Available,,China Evergreen Environmental Corporation (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,December,Hebei Nangong Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Nangong City, Hebei Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,20,4.15,24.15,Cubic meters per day (in thousands),30,N/A,,,Not Available,,CNA Group (20% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Hedong Chuangwei Water Co. Ltd.,Hedong Sewage Treatment Plant,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Urumqi, Xinjiang Uyghur Autonmous Region",25,Local/Municipal,Not Available,,Not Available,,,2005,25,0,44.7,44.7,Cubic meters per day (in thousands),800,N/A,,,Direct negotiation,,Veolia Environnement (25% / France),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Henan Wastewater Plants,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,Henan province,22,Local/Municipal,Not Available,,Not Available,,,2005,100,7.7,0,7.7,Cubic meters per day (in thousands),130,N/A,,Not Applicable,Not Available,,China Evergreen Environmental Corporation (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,August,Huaiyuan Tapwater Plant,Bangbu Xinya Water Services Co.,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Huaiyuan County, Anhui Province",20,Local/Municipal,Not Available,,Not Available,,,2005,100,0.7,0,0.7,Cubic meters per day (in thousands),14,N/A,,,Not Available,,Asia Water Technology (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,December,Huaxin Town Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Qingpu District, Shanghai Municipality",30,Local/Municipal,Not Available,,Not Available,,,2005,Not Available,0,19.44,19.44,Cubic meters per day (in thousands),51,N/A,,Not Available,Competitive bidding,Not Available,"Hong Kong Lvyan International Environmental Protection Investment Company Ltd (.. / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,April,Huzhou City North Water Plant Extension Project,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Huzhou City, Zhejiang Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,24.42,24.42,Cubic meters per day (in thousands),300,N/A,,Not Applicable,Not Available,,Beijing Sound Environment Industry Group (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,April,Jiangdu Water Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Jiangdu city, Jiangsu province",30,Local/Municipal,Not Available,,Not Available,,,2005,100,0,11.97,11.97,Cubic meters per day (in thousands),50,N/A,,,Not Available,,"World Eagle International (70% / Hong Kong, China), Bio-Treat Technology Ltd. (30% / China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,November,Jiashan County Xitang Town Wastewater Treatment Project,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Xitang Town, Jiashan County, Zhejiang Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,5.74,5.74,Cubic meters per day (in thousands),15,N/A,,,Not Available,,Hans Technologies (100% / United States),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,November,Kunming Water Supply Company,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility without sewerage,"Kuming city, Yunan Province",30,Local/Municipal,Not Available,,Not Available,,,2005,25,124,0,124,Cubic meters per day (in thousands),1600,N/A,,Highest price paid to government,Competitive bidding,3,Veolia Environnement (25% / France),User fees,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,June,Lianyungang Wastewater Concession,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Lianyungang city, Jiangsu Province ",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,16.9,16.9,Cubic meters per day (in thousands),100,N/A,Lianyungang Wastewater Concession,,Competitive negotiation,,Bio-Treat Technology Ltd. (95% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,June,Lianyungang Wastewater Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Lianyungang city, Jiangsu Province ",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,12.7,12.7,Cubic meters per day (in thousands),160,N/A,Lianyungang Wastewater Plant,,Direct negotiation,,Bio-Treat Technology Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,December,Liaoning Anshan Wastewater Treatment Plant,Anshan No. 2 Wastewater Treatment Plant,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Anshan City, Liaoning Province",30,Local/Municipal,Not Available,,Not Available,,,2005,100,13.43,0,13.43,Cubic meters per day (in thousands),100,N/A,,Not Available,Competitive bidding,Not Available,Dalian Dongda Environmental Engineering Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,November,Linyi City Salcon Water Concession ,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility with sewerage,"Linyi City, Shandong Province",30,Local/Municipal,Not Available,,Not Available,,,2005,60,4.4,0,4.4,Population (in thousands),1000,N/A,,,Direct negotiation,,Salcon Bhd (60% / Malaysia),User fees,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,October,Maanshan City Huashan District Wangjiashan Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Ma'anshan City, Anhui Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,10.26,10.26,Cubic meters per day (in thousands),60,N/A,,,Not Available,,"InterChina Holdings (100% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,March,Nanchang Water,,Greenfield project,"Build, operate, and transfer",Active,10/01/2005,Water and sewerage,Treatment plant,Potable water treatment plant,"Nanchang city, Jiangxi province",20,Local/Municipal,Not Available,,Not Available,,,2005,12.5,0,21.69,21.69,Cubic meters per day (in thousands),200,N/A,,Not Available,Competitive bidding,Not Available,Asia Environment Holdings Ltd (13% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,May,Nanchang Xianghu Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,05/01/2006,Water and sewerage,Treatment plant,Sewerage treatment plant,"Nanchang City, Jiangxi Province",30,Local/Municipal,Not Available,,Not Available,,,2005,100,0,22.59,22.59,Cubic meters per day (in thousands),200,N/A,,,Not Available,,Beijing Sound Environment Industry Group (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,December,Nanjing Wastewater Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Nanjing city, Jiangsu Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,10,10,Cubic meters per day (in thousands),40,N/A,,Not Available,Competitive bidding,Not Available,Bio-Treat Technology Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Pizhou City Water Supply Project,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Pizhou, Jiangsu Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,9.9,9.9,Cubic meters per day (in thousands),100,N/A,,Not Available,Competitive bidding,Not Available,"Richfull Development (25% / Hong Kong, China), Asia Environment Holdings Ltd (25% / Singapore), Dayen Environmental Ltd. (50% / Singapore)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Rugao Water Treatment Plant,Nantong City North-West District Water Supply Project,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Rugao city, Jiangsu Province",25,Local/Municipal,Not Available,,Not Available,,,2005,25,0,48.1,48.1,Cubic meters per day (in thousands),185.76,N/A,,,Not Available,,Asia Environment Holdings Ltd (25% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,June,Shan County Jiashan River Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Shan County, Shandong Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,8.18,8.18,Cubic meters per day (in thousands),40,N/A,,,Not Available,,Qingdao Galaxy Group (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,November,Shandong Changyi Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Changyi City, Shandong Province",20,Local/Municipal,Not Available,,Not Available,,,2005,100,0,5.49,5.49,Cubic meters per day (in thousands),30,N/A,,,Not Available,,Jinan Shifangyuantong Water Affaris Development Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,April,Shanghai Zhuyuan No. 1 Sewage Treatment Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,Shanghai Municipaclity,20,State/Provincial,Not Available,,Not Available,,,2005,100,18.12,0,18.12,Cubic meters per day (in thousands),1700,N/A,,,Not Available,,"InterChina Holdings (100% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,March,Suqian Water and Wastewater Plants,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Suqian city, Jiangsu province",30,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,2005,100,0,21.5,21.5,Cubic meters per day (in thousands),60,N/A,,,Direct negotiation,,Bio-Treat Technology Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,November,Tangshan City Qianxi County Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,10/01/2006,Water and sewerage,Treatment plant,Sewerage treatment plant,"Qianxi County, Tangshan City, Hebei Province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,8.55,8.55,Cubic meters per day (in thousands),40,N/A,,,Not Available,,"Xucheng Industrial Development Co. Ltd. (100% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,February,Wuhan Hanxi Municipal Wastewater Treatment Project ,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Hankou District, Wuhan City, Hubei Province",25,Local/Municipal,Not Available,,Not Available,,,2005,43,0,23.57,23.57,Cubic meters per day (in thousands),400,N/A,,,Not Available,,Asia Water Technology (43% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,September,Wuhu Hong Kong and China Water Company Limited,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility with sewerage,"Wuhu city, Anhui Province",30,State/Provincial,Not Available,,Not Available,,,2005,75,27.2,57.4,84.6,Population (in thousands),2250,N/A,,Not Available,Competitive bidding,Not Available,"Hong Kong and China Gas Company (75% / Hong Kong, China)",User fees,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,June,Wujiang Hong Kong and China Water Company Limited,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility with sewerage,"Wujiang City, Jiangsu Province",30,Local/Municipal,Not Available,,Not Available,,,2005,80,93.8,23.2,117,Population (in thousands),1000,N/A,,,Competitive negotiation,,"Hong Kong and China Gas Company (80% / Hong Kong, China)",User fees,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,July,Wuxi Qianqiao Comprehensive Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,10/01/2006,Water and sewerage,Treatment plant,Sewerage treatment plant,"Wuxi City, Jiangsu Province",20,Local/Municipal,Not Available,,Not Available,,,2005,95,0,14.65,14.65,Cubic meters per day (in thousands),60,N/A,,,Direct negotiation,,"Wai Kee Holdings Ltd. (95% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,October,Xintai City Wastewater,United Envirotech Water Treatment Xintai Co Ltd.,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Xintai City, Shandong Province. ",30,Local/Municipal,Not Available,,Not Available,,,2005,100,4.2,8.65,12.85,Cubic meters per day (in thousands),80,N/A,,,Not Available,,United Envirotech (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2005,May,Zhuozhou Sewage Treatment Plants ,,Greenfield project,"Build, operate, and transfer",Cancelled,07/01/2006,Water and sewerage,Treatment plant,Sewerage treatment plant,"Zhuozhou city, Hebei province",25,Local/Municipal,Not Available,,Not Available,,,2005,100,0,15.1,15.1,Cubic meters per day (in thousands),74,N/A,,,Direct negotiation,,"InterChina Holdings (93% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Anhui Xiuning County Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Xiuning County, Anhui Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,0,9.79,9.79,Cubic meters per day (in thousands),40,N/A,,,Direct negotiation,,Shanghai Fudalefumen Environmental Protection Engineering Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,July,Beijing Underground Waste Water Treatment Facility,,Greenfield project,"Build, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Sewerage treatment plant,"Beijing City, China",29,Local/Municipal,Not Available,,Not Available,,,2006,100,0,13.8,13.8,Cubic meters per day (in thousands),40,N/A,,Not Available,Competitive bidding,Not Available,Bio-Treat Technology Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,September,Caijiabo Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Sewerage treatment plant,"Baoji City, Zhishanxian County, Shaanxi Province, China",20,Local/Municipal,Not Available,,Not Available,,,2006,51,0,7.5,7.5,Cubic meters per day (in thousands),50,N/A,,,Direct negotiation,,CNA Group (51% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Changshu Water Supply Company Ltd.,,Management and lease contract,Lease contract,Active,02/01/2007,Water and sewerage,Water Utility,Water utility without sewerage,"Changshu City, Jiangsu Province",30,Local/Municipal,Not Available,,Not Available,,,2006,49,75.4,0,75.4,Cubic meters per day (in thousands),675,N/A,,Not Available,Competitive bidding,4,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (25% / France)",User fees,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,March,Changxing County Meishan Town Water and Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water and sewerage treatment plant,"Changxing County, Zhejiang Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,0,14.75,14.75,Cubic meters per day (in thousands),45,N/A,,,Direct negotiation,,Hans Technologies (100% / United States),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,September,Chongqing Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Sewerage treatment plant,"Chongqing Muncipality, China",30,Local/Municipal,Not Available,,Not Available,,,2006,50,0,37.64,37.64,Cubic meters per day (in thousands),302,N/A,,,Direct negotiation,,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (25% / France)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,July,Dalian City Chunliu River Wastewater Treatment Plant Phase II,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Dalian City, Liaoning Province",20,Local/Municipal,Not Available,,Not Available,,,2006,100,0,14.44,14.44,Cubic meters per day (in thousands),120,N/A,,Not Available,Competitive bidding,Not Available,Dalian Dongda Environmental Engineering Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,July,Dalian City Malan River Wastewater Treatment Plant Phase II,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Dalian City, Liaoning Province",20,Local/Municipal,Not Available,,Not Available,,,2006,100,0,12.55,12.55,Cubic meters per day (in thousands),80,N/A,,Not Available,Competitive bidding,Not Available,Dalian Dongda Environmental Engineering Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,December,Dangshan Water Company,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Danshan County, Anhui Province",30,Local/Municipal,Not Available,,Not Available,,,2006,100,3.14,0,3.14,Cubic meters per day (in thousands),30,N/A,,,Direct negotiation,,"China Water Industry Group Limited (100% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,August,Dengzhou City Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Dengzhou City, Henan Province",30,Local/Municipal,Not Available,,Not Available,,,2006,100,0,4.02,4.02,Cubic meters per day (in thousands),30,N/A,,,Not Available,,Sinomem Technology Ltd. (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Deqing Potable Water Treatment Plant,Deqing Huanzhong Producing Water Company,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Deqing County, Zhejiang Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,0,20,20,Cubic meters per day (in thousands),104,N/A,,,Direct negotiation,,Darco (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,September,Dingshu Wastewater Treatment Plant,..,Greenfield project,"Build, operate, and transfer",Active,04/01/2009,Water and sewerage,Treatment plant,Sewerage treatment plant,"Yixing City, Jiangsu Province",Not Available,Local/Municipal,Not Applicable,,Not Available,,,2006,100,0,6.64994,6.64994,Cubic meters per day (in thousands),25,N/A,,Not Available,Competitive bidding,Not Available,Huaqi (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,March,Fengtai County Water Supply Facility,,Greenfield project,"Build, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Potable water treatment plant,"Fengtai County, Anhui Province, China",40,Local/Municipal,Not Available,,Not Available,,,2006,85,0,17.8,17.8,Cubic meters per day (in thousands),104,N/A,,,Not Available,,"Asia Environment Holdings Ltd (35% / Singapore), Shanghai Excellent Trade Co. (50% / China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,March,Ganyu County Sewerage Treatment Facility,,Greenfield project,"Build, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Sewerage treatment plant,"Ganyu County, Jiangsu Province",20,Local/Municipal,Not Available,,Not Available,,,2006,100,0,48.5,48.5,Cubic meters per day (in thousands),20,N/A,,,Not Available,,"Zou Ben Qiang (23% / China), Goldis Bhd (78% / Malaysia)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,October,Haining City Water Treatment Plant,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,01/01/2007,Water and sewerage,Treatment plant,Potable water treatment plant,"Haining City, Zhejiang Province, China",30,Local/Municipal,Not Available,,Not Available,,,2006,60,0,6.75,6.75,Cubic meters per day (in thousands),360,N/A,,Not Available,Competitive bidding,Not Available,Salcon Bhd (60% / Malaysia),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Henan Jiaozuo Wastewater Treatment Plant (Phase one),,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Jiaozuo City, Henan Province",26,Local/Municipal,Not Available,,Not Available,,,2006,100,15,0,15,Cubic meters per day (in thousands),100,N/A,,,Direct negotiation,,Chongqing Kangda Environmental Protection Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,November,Henan Jiaozuo Wastewater Treatment Plant (Phase two),,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Jiaozuo City, Henan Province",26,Local/Municipal,Not Available,,Not Available,,,2006,100,0,23.84,23.84,Cubic meters per day (in thousands),150,N/A,,,Direct negotiation,,Chongqing Kangda Environmental Protection Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,March,Henan Shangqiu Wastewater Treatment Plant (Phase one),,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Shangqiu City, Henan Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,11.29,0,11.29,Cubic meters per day (in thousands),80,N/A,,,Direct negotiation,,Chongqing Kangda Environmental Protection Co. Ltd. (100% / China),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,February,Ji'an Luozishan Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Ji'an City, Jiangxi Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,0,0,Not Available,Cubic meters per day (in thousands),80,N/A,,Not Available,Competitive bidding,Not Available,Sinomem Technology Ltd. (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,August,Jilin Siping City Wastewater Treatment Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Siping City, Jilin Province",30,Local/Municipal,Not Available,,Not Available,,,2006,100,0,11.29,11.29,Cubic meters per day (in thousands),90,N/A,,,Not Available,,Sinomem Technology Ltd. (100% / Singapore),Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,September,Jingzhou City Water Treatment Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,02/01/2007,Water and sewerage,Treatment plant,Potable water treatment plant,"Shi Shi District, Jingzhou City, Hubei Province, China",25,Local/Municipal,Not Available,,Not Available,,,2006,51,16.2,0,16.2,Cubic meters per day (in thousands),100,N/A,,,Direct negotiation,,"China Water Affairs Group Ltd (51% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2006,August,Jinzhou City Hongguang Wastewater Treatment Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Jinzhou City, Hubei Province",25,Local/Municipal,Not Available,,Not Available,,,2006,100,16.3,0,16.3,Cubic meters per day (in thousands),100,N/A,,Not Available,Competitive bidding,3,"China Water Affairs Group Ltd (100% / Hong Kong, China)",Purchase agreements or transmission fees with public entity(ies),N/A,No,No,,,N/A,Yes,No
